Product_ID,Product_Name,Category,Current_Stock,Units_Sold_Last_7_Days,Average_Daily_Sales,Demand_Forecast,Restock
P450,Leggings,Women's Wear,115,22,2.97,26.04,NO
P451,Formal Shirt,Shirt,81,23,3.43,36.65,NO
P452,Jeans,Jeans,109,4,0.62,2.92,NO
P453,Chudidar,Traditional Wear,145,44,6.58,47.4,NO
P454,Kids Dress,Kids Wear,36,24,3.56,26.09,NO
P455,Cotton Shirt,Shirt,25,5,0.75,7.6,NO
P456,Men's Dhoti,Men's Wear,136,17,2.41,21.12,NO
P457,Jeans,Jeans,63,71,10.9,70.53,YES
P458,Women's Top,Women's Wear,71,134,18.01,203.97,YES
P459,Cotton Saree,Saree,147,101,13.35,103.95,NO
P460,Leggings,Women's Wear,181,58,7.93,56.59,NO
P461,Cotton Shirt,Shirt,105,53,7.62,75.8,NO
P462,T-Shirt,T-Shirt,85,12,1.72,10.47,NO
P463,Women's Top,Women's Wear,157,122,18.55,182.14,NO
P464,Kids Dress,Kids Wear,52,65,9.11,92.49,YES
P465,Jeans,Jeans,91,73,10.4,75.76,YES
P466,Salwar,Traditional Wear,98,44,5.67,34.25,NO
P467,Cotton Shirt,Shirt,190,61,8.56,69.95,NO
P468,Cotton Saree,Saree,10,45,6.62,44.32,YES
P469,Silk Saree,Saree,30,82,10.58,70.8,YES
P470,Formal Shirt,Shirt,176,104,14.21,105.81,NO
P471,Casual Shirt,Shirt,99,38,5.11,41.76,NO
P472,Women's Top,Women's Wear,86,76,9.86,92.13,NO
P473,Kurti,Kurti,146,8,1.14,12.72,NO
P474,Casual Shirt,Shirt,139,62,8.29,78.6,NO
P475,Cotton Saree,Saree,14,10,1.5,8.52,NO
P476,Chudidar,Traditional Wear,158,60,9.17,62.58,NO
P477,Men's Dhoti,Men's Wear,170,93,13.41,152.79,NO
P478,Chudidar,Traditional Wear,100,32,5.01,47.09,NO
P479,Silk Saree,Saree,164,64,9.05,105.19,NO
P480,Women's Top,Women's Wear,28,13,1.86,15.25,NO
P481,Kurti,Kurti,113,17,2.67,25.38,NO
P482,Salwar,Traditional Wear,106,47,6.35,58.98,NO
P483,Silk Saree,Saree,153,4,0.62,3.38,NO
P484,Women's Top,Women's Wear,107,24,3.12,28.24,NO
P485,Palazzo,Women's Wear,129,68,9.61,87.88,NO
P486,Casual Shirt,Shirt,83,45,5.88,43.59,NO
P487,Silk Saree,Saree,14,56,8.37,68.36,YES
P488,Casual Shirt,Shirt,131,23,3.36,35.75,NO
P489,Cotton Shirt,Shirt,49,47,6.99,81.96,YES
P490,Chudidar,Traditional Wear,165,50,6.96,58.82,NO
P491,Cotton Shirt,Shirt,22,59,8.21,65.87,YES
P492,Formal Shirt,Shirt,58,47,6.1,43.75,NO
P493,Palazzo,Women's Wear,89,70,9.7,100.96,YES
P494,Kurti,Kurti,114,52,8.07,62.67,NO
P495,Salwar,Traditional Wear,74,41,5.72,71.35,NO
P496,Kids Dress,Kids Wear,155,118,17.97,141.99,NO
P497,Casual Shirt,Shirt,193,34,5.19,43.96,NO
P498,Salwar,Traditional Wear,122,91,12.67,125.11,YES
P499,Casual Shirt,Shirt,135,83,12.17,132.93,NO
P500,Cotton Saree,Saree,156,64,8.4,74.72,NO
P501,Silk Saree,Saree,138,114,14.99,128.4,NO
P502,Formal Shirt,Shirt,17,62,8.06,100.32,YES
P503,Chudidar,Traditional Wear,182,46,6.68,41.48,NO
P504,Kids Dress,Kids Wear,49,60,8.44,98.65,YES
P505,Leggings,Women's Wear,141,38,5.48,38.11,NO
P506,Casual Shirt,Shirt,117,64,9.18,101.36,NO
P507,Salwar,Traditional Wear,136,124,17.18,168.67,YES
P508,Formal Shirt,Shirt,138,48,7.1,57.33,NO
P509,T-Shirt,T-Shirt,190,44,6.61,76.64,NO
P510,Kids Dress,Kids Wear,107,78,10.06,60.11,NO
P511,T-Shirt,T-Shirt,66,27,3.63,25.04,NO
P512,Cotton Shirt,Shirt,180,11,1.64,13.91,NO
P513,Chudidar,Traditional Wear,166,51,7.12,56.59,NO
P514,Men's Dhoti,Men's Wear,77,112,16.52,163.3,YES
P515,Men's Dhoti,Men's Wear,183,17,2.35,14.23,NO
P516,Leggings,Women's Wear,155,21,2.93,20.43,NO
P517,Cotton Saree,Saree,74,12,1.6,10.37,NO
P518,Salwar,Traditional Wear,38,6,0.82,4.89,NO
P519,Women's Top,Women's Wear,24,4,0.58,4.52,NO
P520,Leggings,Women's Wear,20,45,6.34,68.94,YES
P521,Silk Saree,Saree,137,38,5.73,67.28,NO
P522,Silk Saree,Saree,170,13,1.99,24.06,NO
P523,Salwar,Traditional Wear,14,79,11.38,82.55,YES
P524,Women's Top,Women's Wear,47,12,1.8,15.99,NO
P525,Kurti,Kurti,85,12,1.65,12.33,NO
P526,Cotton Saree,Saree,148,55,7.72,60.57,NO
P527,Formal Shirt,Shirt,187,48,7.15,66.38,NO
P528,Casual Shirt,Shirt,115,14,1.95,10.54,NO
P529,Women's Top,Women's Wear,49,65,9.45,69.35,YES
P530,Men's Dhoti,Men's Wear,150,22,2.95,35.69,NO
P531,Kids Dress,Kids Wear,140,127,18.5,165.4,YES
P532,Kurti,Kurti,68,92,14.09,122.22,YES
P533,Casual Shirt,Shirt,3,65,9.97,61.71,YES
P534,Casual Shirt,Shirt,77,33,4.93,38.84,NO
P535,Kurti,Kurti,199,88,13.19,149.41,NO
P536,Cotton Shirt,Shirt,8,32,4.62,33.81,YES
P537,T-Shirt,T-Shirt,120,12,1.74,13.29,NO
P538,Casual Shirt,Shirt,114,50,6.62,38.21,NO
P539,Kurti,Kurti,162,14,1.98,16.26,NO
P540,Women's Top,Women's Wear,100,100,14.15,84.3,NO
P541,Kurti,Kurti,148,57,8.89,100.18,NO
P542,Palazzo,Women's Wear,185,10,1.41,13.95,NO
P543,Leggings,Women's Wear,145,70,10.1,109.31,NO
P544,Jeans,Jeans,96,93,13.37,101.83,NO
P545,Cotton Shirt,Shirt,199,119,17.46,195.16,NO
P546,Chudidar,Traditional Wear,80,82,12.3,113.62,YES
P547,Jeans,Jeans,42,97,13.1,109.47,YES
P548,Leggings,Women's Wear,94,122,17.53,171.9,YES
P549,Leggings,Women's Wear,5,65,9.89,61.02,YES
P550,Leggings,Women's Wear,66,33,4.68,33.33,NO
P551,Jeans,Jeans,139,46,6.28,64.79,NO
P552,Salwar,Traditional Wear,99,122,17.97,136.15,YES
P553,T-Shirt,T-Shirt,11,2,0.3,1.03,NO
P554,Kurti,Kurti,65,94,12.26,101.65,YES
P555,Kids Dress,Kids Wear,1,18,2.71,28.85,YES
P556,T-Shirt,T-Shirt,142,26,3.95,46.55,NO
P557,Men's Dhoti,Men's Wear,150,33,4.68,53.95,NO
P558,Women's Top,Women's Wear,156,21,3.29,26.37,NO
P559,Cotton Saree,Saree,80,104,15.71,112.04,YES
P560,Salwar,Traditional Wear,134,72,10.85,97.81,NO
P561,Chudidar,Traditional Wear,155,109,16.34,96.73,NO
P562,T-Shirt,T-Shirt,141,86,11.43,70.87,NO
P563,Kids Dress,Kids Wear,171,6,0.81,6.59,NO
P564,Silk Saree,Saree,157,53,7.52,67.97,NO
P565,Leggings,Women's Wear,159,37,5.04,60.31,NO
P566,Casual Shirt,Shirt,69,47,6.6,46.39,NO
P567,Men's Dhoti,Men's Wear,114,26,4.0,30.36,NO
P568,Cotton Saree,Saree,87,50,7.61,52.1,NO
P569,Cotton Shirt,Shirt,5,80,11.73,135.92,YES
P570,Chudidar,Traditional Wear,26,129,19.75,215.12,YES
P571,Women's Top,Women's Wear,81,97,14.64,163.57,YES
P572,Cotton Saree,Saree,87,46,6.48,76.9,NO
P573,Leggings,Women's Wear,119,39,5.24,47.48,NO
P574,Casual Shirt,Shirt,23,38,5.44,47.63,YES
P575,Salwar,Traditional Wear,101,18,2.69,23.31,NO
P576,Casual Shirt,Shirt,33,105,14.81,143.73,YES
P577,Jeans,Jeans,167,91,13.43,117.9,NO
P578,Casual Shirt,Shirt,46,27,3.54,29.66,NO
P579,Jeans,Jeans,23,57,8.55,100.39,YES
P580,Men's Dhoti,Men's Wear,64,11,1.67,20.61,YES
P581,Salwar,Traditional Wear,17,51,7.59,84.12,YES
P582,Women's Top,Women's Wear,43,17,2.66,27.01,NO
P583,Formal Shirt,Shirt,75,50,7.61,78.31,YES
P584,Leggings,Women's Wear,56,3,0.46,3.42,NO
P585,Jeans,Jeans,106,33,5.12,32.43,NO
P586,Cotton Shirt,Shirt,155,94,14.24,147.45,NO
P587,Casual Shirt,Shirt,123,10,1.48,16.95,NO
P588,Casual Shirt,Shirt,198,3,0.39,1.73,NO
P589,Cotton Shirt,Shirt,150,35,4.97,60.19,NO
P590,Women's Top,Women's Wear,161,9,1.3,7.12,YES
P591,Silk Saree,Saree,138,76,10.43,79.54,NO
P592,Men's Dhoti,Men's Wear,162,16,2.2,21.48,YES
P593,Kurti,Kurti,115,46,7.18,48.88,NO
P594,Formal Shirt,Shirt,92,122,18.79,117.28,YES
P595,Chudidar,Traditional Wear,41,0,0.0,0.0,NO
P596,Kids Dress,Kids Wear,27,73,10.23,111.52,YES
P597,Jeans,Jeans,122,94,12.12,102.26,NO
P598,Cotton Shirt,Shirt,23,4,0.52,6.22,NO
P599,Kids Dress,Kids Wear,135,92,12.65,119.65,NO
P600,Salwar,Traditional Wear,105,70,9.03,56.79,NO
P601,Women's Top,Women's Wear,117,108,13.94,170.6,YES
P602,Jeans,Jeans,52,79,12.23,73.99,YES
P603,Kurti,Kurti,199,59,8.78,106.83,NO
P604,Kids Dress,Kids Wear,131,73,10.03,94.48,NO
P605,Salwar,Traditional Wear,99,104,13.77,166.6,YES
P606,Cotton Saree,Saree,4,44,6.3,42.13,YES
P607,Leggings,Women's Wear,48,82,10.56,96.02,YES
P608,Casual Shirt,Shirt,97,89,13.83,98.2,YES
P609,Cotton Saree,Saree,29,18,2.53,15.49,NO
P610,Jeans,Jeans,71,21,2.94,26.94,NO
P611,Kurti,Kurti,102,22,3.07,23.69,NO
P612,Formal Shirt,Shirt,62,6,0.78,7.05,NO
P613,Kids Dress,Kids Wear,174,23,3.38,22.49,NO
P614,Men's Dhoti,Men's Wear,25,83,12.41,97.83,YES
P615,Leggings,Women's Wear,184,21,3.11,33.79,NO
P616,Jeans,Jeans,36,65,8.61,76.88,YES
P617,Women's Top,Women's Wear,6,22,3.19,30.71,YES
P618,Cotton Shirt,Shirt,126,78,11.3,112.91,NO
P619,Men's Dhoti,Men's Wear,167,118,18.1,204.66,YES
P620,Men's Dhoti,Men's Wear,91,75,10.46,84.91,NO
P621,Men's Dhoti,Men's Wear,166,109,15.17,155.62,NO
P622,T-Shirt,T-Shirt,189,8,1.17,13.29,NO
P623,Jeans,Jeans,102,125,18.33,195.14,YES
P624,Leggings,Women's Wear,52,16,2.27,21.22,NO
P625,Casual Shirt,Shirt,131,68,9.6,93.74,NO
P626,Casual Shirt,Shirt,107,8,1.14,10.37,NO
P627,Jeans,Jeans,111,46,7.05,69.08,NO
P628,Salwar,Traditional Wear,152,82,11.62,69.24,NO
P629,T-Shirt,T-Shirt,6,26,4.04,28.01,YES
P630,Cotton Shirt,Shirt,155,26,3.72,42.64,YES
P631,Men's Dhoti,Men's Wear,196,17,2.65,18.68,NO
P632,Men's Dhoti,Men's Wear,66,22,3.35,36.23,NO
P633,Jeans,Jeans,107,34,4.72,38.23,NO
P634,Salwar,Traditional Wear,110,15,2.3,22.29,NO
P635,Casual Shirt,Shirt,147,63,8.3,53.83,NO
P636,Casual Shirt,Shirt,82,6,0.93,4.62,NO
P637,Kurti,Kurti,123,110,16.13,193.28,YES
P638,Jeans,Jeans,138,28,3.64,40.63,NO
P639,T-Shirt,T-Shirt,103,19,2.79,29.53,NO
P640,Silk Saree,Saree,66,22,3.44,31.92,NO
P641,T-Shirt,T-Shirt,6,11,1.44,14.37,YES
P642,Women's Top,Women's Wear,150,139,20.07,197.41,YES
P643,Casual Shirt,Shirt,188,52,7.8,73.56,NO
P644,Casual Shirt,Shirt,198,9,1.37,9.53,NO
P645,Cotton Saree,Saree,109,52,7.3,71.97,NO
P646,Casual Shirt,Shirt,33,28,3.76,39.66,YES
P647,Cotton Shirt,Shirt,105,23,2.98,36.12,NO
P648,Chudidar,Traditional Wear,146,49,7.11,41.17,NO
P649,Jeans,Jeans,57,89,12.59,133.81,YES
P650,Kids Dress,Kids Wear,8,14,2.18,18.87,YES
P651,T-Shirt,T-Shirt,47,75,9.77,85.43,YES
P652,Chudidar,Traditional Wear,114,57,8.44,55.73,NO
P653,Salwar,Traditional Wear,40,30,3.88,32.02,NO
P654,Silk Saree,Saree,47,19,2.54,21.33,NO
P655,Cotton Shirt,Shirt,172,8,1.13,10.85,NO
P656,Leggings,Women's Wear,24,58,8.21,87.76,YES
P657,Palazzo,Women's Wear,115,138,20.45,210.86,YES
P658,T-Shirt,T-Shirt,77,63,9.74,92.8,NO
P659,Chudidar,Traditional Wear,107,54,7.93,95.54,NO
P660,Leggings,Women's Wear,24,49,7.63,61.99,YES
P661,Silk Saree,Saree,146,80,12.3,90.63,NO
P662,Cotton Saree,Saree,38,111,16.13,164.07,YES
P663,Leggings,Women's Wear,118,19,2.9,22.15,NO
P664,Cotton Shirt,Shirt,78,82,12.05,97.55,YES
P665,Cotton Shirt,Shirt,79,52,6.8,51.72,NO
P666,Kids Dress,Kids Wear,26,114,17.07,110.41,YES
P667,Cotton Saree,Saree,103,0,0.0,0.0,NO
P668,Palazzo,Women's Wear,73,18,2.62,18.21,NO
P669,Jeans,Jeans,190,18,2.68,24.21,NO
P670,Leggings,Women's Wear,67,79,10.31,64.28,NO
P671,Cotton Saree,Saree,146,132,17.84,184.58,YES
P672,Cotton Shirt,Shirt,27,16,2.48,19.51,NO
P673,Cotton Shirt,Shirt,122,138,20.17,214.37,YES
P674,Chudidar,Traditional Wear,160,92,12.48,106.96,NO
P675,Casual Shirt,Shirt,137,106,15.72,110.93,NO
P676,Palazzo,Women's Wear,82,18,2.62,23.1,NO
P677,Leggings,Women's Wear,29,66,9.43,63.93,YES
P678,Kids Dress,Kids Wear,21,29,4.54,40.5,YES
P679,Kids Dress,Kids Wear,2,8,1.18,8.08,YES
P680,Leggings,Women's Wear,100,11,1.53,18.08,NO
P681,Women's Top,Women's Wear,104,81,12.27,78.57,NO
P682,Men's Dhoti,Men's Wear,175,104,16.0,164.94,NO
P683,Silk Saree,Saree,1,12,1.59,9.4,YES
P684,Kids Dress,Kids Wear,53,74,9.94,78.92,YES
P685,Cotton Saree,Saree,5,95,12.8,108.85,YES
P686,Silk Saree,Saree,106,55,8.16,96.95,NO
P687,Cotton Saree,Saree,167,108,15.75,116.28,NO
P688,Salwar,Traditional Wear,122,55,8.04,53.07,NO
P689,Cotton Shirt,Shirt,1,39,6.06,46.43,YES
P690,Casual Shirt,Shirt,200,16,2.41,15.71,NO
P691,Chudidar,Traditional Wear,110,6,0.79,5.56,NO
P692,Kids Dress,Kids Wear,1,61,8.45,80.02,YES
P693,Casual Shirt,Shirt,92,102,14.38,90.9,NO
P694,Casual Shirt,Shirt,182,1,0.14,0.0,NO
P695,Casual Shirt,Shirt,199,94,13.88,144.27,NO
P696,Men's Dhoti,Men's Wear,100,43,6.62,54.96,NO
P697,Silk Saree,Saree,187,47,6.45,42.68,NO
P698,Cotton Saree,Saree,96,73,10.54,81.15,NO
P699,Formal Shirt,Shirt,110,65,9.82,98.67,NO
P700,Salwar,Traditional Wear,5,22,3.09,23.5,YES
P701,T-Shirt,T-Shirt,126,15,2.0,16.29,NO
P702,Casual Shirt,Shirt,103,4,0.57,3.83,NO
P703,Jeans,Jeans,146,6,0.78,8.59,NO
P704,Silk Saree,Saree,154,68,10.57,83.0,NO
P705,Kids Dress,Kids Wear,0,58,7.58,76.27,YES
P706,Palazzo,Women's Wear,32,25,3.53,37.99,YES
P707,Kids Dress,Kids Wear,39,60,8.62,85.8,YES
P708,Chudidar,Traditional Wear,31,6,0.94,5.69,NO
P709,T-Shirt,T-Shirt,196,94,12.53,96.21,NO
P710,Formal Shirt,Shirt,16,117,15.43,123.63,YES
P711,Jeans,Jeans,125,21,2.71,18.12,NO
P712,Kids Dress,Kids Wear,7,70,9.31,65.08,YES
P713,Formal Shirt,Shirt,56,7,0.94,10.0,NO
P714,T-Shirt,T-Shirt,41,33,4.84,42.53,YES
P715,Casual Shirt,Shirt,97,52,7.01,59.85,NO
P716,Jeans,Jeans,136,27,3.49,32.24,NO
P717,Formal Shirt,Shirt,119,43,6.54,63.55,NO
P718,Chudidar,Traditional Wear,86,19,2.64,16.78,NO
P719,Cotton Saree,Saree,162,19,2.63,29.52,YES
P720,Cotton Shirt,Shirt,198,69,9.47,67.59,NO
P721,Cotton Saree,Saree,180,28,4.38,45.08,NO
P722,T-Shirt,T-Shirt,53,83,11.07,121.4,YES
P723,Silk Saree,Saree,83,44,6.79,70.72,NO
P724,Cotton Shirt,Shirt,24,59,8.9,83.93,YES
P725,Salwar,Traditional Wear,66,10,1.31,8.88,NO
P726,Chudidar,Traditional Wear,189,56,8.78,72.75,NO
P727,Salwar,Traditional Wear,182,48,6.54,63.1,YES
P728,Men's Dhoti,Men's Wear,173,90,11.82,99.67,NO
P729,Jeans,Jeans,151,105,15.99,181.0,YES
P730,Leggings,Women's Wear,45,67,9.97,78.5,YES
P731,Cotton Shirt,Shirt,21,59,8.63,68.91,YES
P732,Salwar,Traditional Wear,138,49,6.52,48.25,NO
P733,Kids Dress,Kids Wear,175,63,8.96,71.64,NO
P734,Salwar,Traditional Wear,7,103,15.54,148.32,YES
P735,Formal Shirt,Shirt,38,114,15.65,164.7,YES
P736,Cotton Saree,Saree,162,33,4.54,45.78,NO
P737,Formal Shirt,Shirt,48,0,0.0,0.03,NO
P738,Men's Dhoti,Men's Wear,45,30,4.01,46.53,YES
P739,Cotton Shirt,Shirt,37,68,10.44,117.52,YES
P740,Cotton Shirt,Shirt,135,16,2.26,15.15,NO
P741,Men's Dhoti,Men's Wear,53,80,12.54,131.43,YES
P742,T-Shirt,T-Shirt,164,8,1.12,7.88,NO
P743,Formal Shirt,Shirt,91,14,2.09,14.04,NO
P744,Kurti,Kurti,39,72,9.84,99.29,YES
P745,Kids Dress,Kids Wear,33,150,20.84,166.39,YES
P746,Palazzo,Women's Wear,95,6,0.8,5.66,NO
P747,Cotton Saree,Saree,78,78,10.8,75.62,YES
P748,Cotton Shirt,Shirt,126,113,16.3,95.38,NO
P749,T-Shirt,T-Shirt,16,16,2.51,28.11,YES
P750,Leggings,Women's Wear,160,105,15.49,94.2,NO
P751,Kids Dress,Kids Wear,174,30,4.03,28.69,NO
P752,Formal Shirt,Shirt,109,23,2.99,23.72,NO
P753,Cotton Saree,Saree,51,88,11.63,93.69,YES
P754,Leggings,Women's Wear,117,6,0.87,10.9,NO
P755,Formal Shirt,Shirt,8,71,10.68,67.77,YES
P756,Salwar,Traditional Wear,32,122,18.96,174.05,YES
P757,Leggings,Women's Wear,187,16,2.06,21.25,NO
P758,Men's Dhoti,Men's Wear,112,74,10.62,124.55,NO
P759,Women's Top,Women's Wear,148,136,19.32,191.53,YES
P760,T-Shirt,T-Shirt,185,25,3.68,41.54,YES
P761,Cotton Saree,Saree,84,93,13.44,87.41,YES
P762,Casual Shirt,Shirt,196,73,10.82,89.54,NO
P763,Women's Top,Women's Wear,9,59,8.7,70.65,YES
P764,Jeans,Jeans,5,86,11.34,129.05,YES
P765,Jeans,Jeans,114,14,2.12,15.01,NO
P766,Cotton Saree,Saree,120,97,12.81,89.78,NO
P767,Leggings,Women's Wear,140,91,13.52,109.86,NO
P768,Formal Shirt,Shirt,64,58,8.15,51.14,NO
P769,T-Shirt,T-Shirt,19,63,9.02,65.17,YES
P770,Palazzo,Women's Wear,56,64,9.88,120.65,NO
P771,Jeans,Jeans,45,61,9.39,80.3,YES
P772,T-Shirt,T-Shirt,135,67,10.18,100.7,NO
P773,Jeans,Jeans,9,51,7.3,78.55,YES
P774,Salwar,Traditional Wear,200,39,5.83,47.52,NO
P775,Formal Shirt,Shirt,112,38,5.44,39.07,NO
P776,Salwar,Traditional Wear,194,73,11.2,83.14,NO
P777,Kids Dress,Kids Wear,138,19,2.66,21.72,NO
P778,Jeans,Jeans,11,0,0.0,1.27,NO
P779,Casual Shirt,Shirt,137,75,11.64,99.46,YES
P780,Casual Shirt,Shirt,152,89,13.33,80.68,NO
P781,Salwar,Traditional Wear,176,42,5.74,52.31,NO
P782,Men's Dhoti,Men's Wear,176,61,8.07,93.1,NO
P783,Women's Top,Women's Wear,10,46,7.04,77.28,YES
P784,Casual Shirt,Shirt,189,66,8.8,98.78,NO
P785,Jeans,Jeans,117,6,0.92,8.49,NO
P786,Cotton Saree,Saree,163,54,7.7,59.57,NO
P787,Salwar,Traditional Wear,38,73,10.23,108.74,YES
P788,Kids Dress,Kids Wear,52,132,20.38,140.51,YES
P789,Palazzo,Women's Wear,55,63,9.19,94.65,YES
P790,Palazzo,Women's Wear,103,12,1.74,19.32,NO
P791,Silk Saree,Saree,128,2,0.29,1.75,NO
P792,Women's Top,Women's Wear,55,9,1.25,15.12,NO
P793,Leggings,Women's Wear,117,47,7.1,83.59,NO
P794,Formal Shirt,Shirt,131,9,1.22,9.32,NO
P795,Casual Shirt,Shirt,29,56,8.7,96.58,YES
P796,Casual Shirt,Shirt,11,49,7.55,47.39,YES
P797,Leggings,Women's Wear,34,16,2.21,23.25,NO
P798,Cotton Shirt,Shirt,76,77,11.5,103.02,YES
P799,Kids Dress,Kids Wear,179,12,1.74,16.12,NO
P800,Kurti,Kurti,158,30,4.15,49.59,NO
P801,Salwar,Traditional Wear,101,9,1.41,15.47,NO
P802,Men's Dhoti,Men's Wear,86,118,15.26,165.29,YES
P803,Kids Dress,Kids Wear,195,20,2.72,21.4,NO
P804,Chudidar,Traditional Wear,51,114,16.35,189.3,YES
P805,Casual Shirt,Shirt,79,78,11.19,74.34,NO
P806,Formal Shirt,Shirt,134,101,14.69,166.43,YES
P807,Silk Saree,Saree,21,92,13.8,111.06,YES
P808,Palazzo,Women's Wear,74,70,10.25,64.99,NO
P809,Casual Shirt,Shirt,183,10,1.46,14.95,NO
P810,Silk Saree,Saree,57,87,11.32,84.18,YES
P811,Jeans,Jeans,92,41,5.71,43.47,YES
P812,Kids Dress,Kids Wear,191,36,4.87,39.38,NO
P813,Jeans,Jeans,102,64,8.71,56.23,NO
P814,Kurti,Kurti,139,1,0.14,2.47,NO
P815,Cotton Saree,Saree,6,42,5.64,32.5,YES
P816,Chudidar,Traditional Wear,127,83,11.37,99.16,NO
P817,Kids Dress,Kids Wear,54,65,8.8,58.82,YES
P818,Cotton Shirt,Shirt,105,70,10.9,111.32,YES
P819,Kurti,Kurti,61,43,6.69,48.24,NO
P820,T-Shirt,T-Shirt,89,71,10.37,123.45,YES
P821,Cotton Shirt,Shirt,200,21,3.25,35.61,NO
P822,Women's Top,Women's Wear,97,72,10.87,83.31,NO
P823,Salwar,Traditional Wear,76,71,10.33,114.43,YES
P824,Formal Shirt,Shirt,182,59,7.6,83.84,NO
P825,Kids Dress,Kids Wear,118,84,12.65,153.03,YES
P826,T-Shirt,T-Shirt,35,35,5.2,52.5,YES
P827,T-Shirt,T-Shirt,88,64,9.35,62.33,NO
P828,Kurti,Kurti,151,52,7.82,78.16,NO
P829,Leggings,Women's Wear,171,52,7.45,72.7,NO
P830,Women's Top,Women's Wear,144,58,8.62,87.31,YES
P831,Cotton Saree,Saree,129,74,11.49,91.46,NO
P832,Kids Dress,Kids Wear,140,58,8.08,92.58,NO
P833,Leggings,Women's Wear,158,70,10.42,126.56,NO
P834,Kurti,Kurti,92,16,2.27,17.38,NO
P835,Salwar,Traditional Wear,113,53,7.84,50.14,NO
P836,Palazzo,Women's Wear,27,20,3.01,22.37,NO
P837,Casual Shirt,Shirt,187,66,8.57,94.52,NO
P838,Casual Shirt,Shirt,154,52,7.65,79.17,NO
P839,Cotton Saree,Saree,142,42,5.67,56.94,NO
P840,Salwar,Traditional Wear,32,61,9.01,74.73,YES
P841,Men's Dhoti,Men's Wear,19,16,2.27,21.82,YES
P842,Cotton Saree,Saree,169,45,6.78,52.86,NO
P843,Kids Dress,Kids Wear,139,8,1.06,8.81,NO
P844,Kids Dress,Kids Wear,100,62,9.08,99.8,NO
P845,Silk Saree,Saree,200,117,15.97,193.03,NO
P846,Leggings,Women's Wear,22,12,1.84,22.86,YES
P847,Men's Dhoti,Men's Wear,199,45,6.98,80.88,NO
P848,Casual Shirt,Shirt,111,40,6.28,53.92,NO
P849,T-Shirt,T-Shirt,13,62,9.38,84.75,YES
P850,Leggings,Women's Wear,90,9,1.35,14.73,NO
P851,Chudidar,Traditional Wear,152,33,4.45,52.32,NO
P852,Kids Dress,Kids Wear,76,96,13.26,92.56,YES
P853,Women's Top,Women's Wear,84,11,1.56,11.47,NO
P854,Formal Shirt,Shirt,108,15,2.26,13.51,NO
P855,Salwar,Traditional Wear,30,54,8.35,81.61,YES
P856,Cotton Shirt,Shirt,121,75,10.05,77.32,NO
P857,Cotton Saree,Saree,106,17,2.63,22.87,NO
P858,Kids Dress,Kids Wear,53,40,5.94,36.84,NO
P859,Leggings,Women's Wear,132,50,7.3,60.68,NO
P860,Men's Dhoti,Men's Wear,140,112,15.04,172.31,YES
P861,Formal Shirt,Shirt,155,0,0.0,0.0,NO
P862,Women's Top,Women's Wear,42,79,11.44,118.66,YES
P863,Leggings,Women's Wear,88,40,5.89,56.6,NO
P864,Cotton Shirt,Shirt,114,81,10.9,124.08,YES
P865,Formal Shirt,Shirt,98,62,8.96,58.84,NO
P866,Chudidar,Traditional Wear,46,66,10.1,123.98,YES
P867,Cotton Shirt,Shirt,70,76,11.58,113.31,YES
P868,Kurti,Kurti,165,65,10.08,122.08,NO
P869,Jeans,Jeans,66,67,9.31,107.69,YES
P870,Kurti,Kurti,61,101,13.9,103.12,YES
P871,Casual Shirt,Shirt,108,62,9.3,57.64,NO
P872,Leggings,Women's Wear,166,44,6.2,48.46,NO
P873,Kids Dress,Kids Wear,36,12,1.57,14.86,NO
P874,Kids Dress,Kids Wear,118,148,20.22,141.57,YES
P875,Kids Dress,Kids Wear,85,9,1.26,10.16,NO
P876,Women's Top,Women's Wear,125,16,2.19,19.39,NO
P877,Jeans,Jeans,135,16,2.21,15.26,NO
P878,Kurti,Kurti,51,49,6.71,46.79,NO
P879,Jeans,Jeans,90,19,2.47,19.83,NO
P880,Palazzo,Women's Wear,32,20,2.94,16.67,NO
P881,Leggings,Women's Wear,80,8,1.17,11.82,NO
P882,Jeans,Jeans,41,16,2.36,22.71,NO
P883,T-Shirt,T-Shirt,111,36,4.83,40.69,NO
P884,Cotton Saree,Saree,125,69,9.45,109.31,NO
P885,Cotton Saree,Saree,154,58,8.48,78.61,NO
P886,T-Shirt,T-Shirt,135,56,8.16,71.65,NO
P887,Formal Shirt,Shirt,150,67,9.58,83.3,NO
P888,Silk Saree,Saree,105,13,1.8,18.77,NO
P889,Women's Top,Women's Wear,124,22,3.4,41.19,NO
P890,Formal Shirt,Shirt,112,84,11.62,130.42,YES
P891,Cotton Shirt,Shirt,63,80,11.33,115.95,YES
P892,Men's Dhoti,Men's Wear,122,11,1.63,10.0,NO
P893,Women's Top,Women's Wear,113,24,3.46,26.8,NO
P894,Women's Top,Women's Wear,19,12,1.66,11.09,NO
P895,Cotton Shirt,Shirt,15,47,6.63,77.09,YES
P896,Jeans,Jeans,144,12,1.82,18.49,YES
P897,Kurti,Kurti,18,17,2.32,24.59,YES
P898,Kurti,Kurti,119,24,3.18,23.45,NO
P899,Cotton Saree,Saree,135,101,13.89,157.92,NO
P900,Salwar,Traditional Wear,165,43,6.57,49.18,NO
P901,Formal Shirt,Shirt,37,6,0.79,5.01,NO
